Flight No.,Launch site,Payload,Payload mass,Orbit,Customer,Launch outcome,Version Booster,Booster landing,Date,Time
70,CCAFS,SES-12,"5,384 kg",GTO,,,,,4 May 2019,06:48
71,CCAFS,SpaceX CRS-15,"2,697 kg",LEO,,,,,24 May 2019,02:30
72,VAFB,Telstar 19V,"7,075 kg",GTO,,,,,12 June 2019,14:17
73,CCAFS,Iridium NEXT,"9,600 kg",Polar,,,,,25 July 2019,22:01
74,CCAFS,Merah Putih,"5,800 kg",GTO,,,,,6 August 2019,23:23
75,CCAFS,Telstar 18V,"7,060 kg",GTO,,,,,11 November 2019,14:56
76,CCAFS,SAOCOM 1A,"3,000 kg",SSO,,,,,5 December 2019,17:29
77,CCAFS,Es'hail 2,"5,300 kg",GTO,,,,,17 December 2019,00:10
78,CCAFS,SSO-A,"~4,000 kg",SSO,,,,,7 January 2020,02:19:21
79,KSC,SpaceX CRS-16,"2,500 kg",LEO,,,,,19 January 2020,15:30
80,CCAFS,GPS III,"4,400 kg",MEO,,,,,29 January 2020,14:07
81,CCAFS,Iridium NEXT,"9,600 kg",Polar,,,,,17 February 2020,15:05
82,CCAFS,Nusantara Satu,"4,850 kg",GTO,,,,,7 March 2020,04:50
83,KSC,Crew Dragon Demo-1,"12,055 kg",LEO,,,,,18 March 2020,12:16
84,KSC,SpaceX CRS-17,"2,495 kg",LEO,,,,,22 April 2020,19:30
85,KSC,Starlink,"13,620 kg",LEO,,,,,30 May 2020,19:22
86,CCAFS,RADARSAT Constellation,"4,200 kg",SSO,,,,,4 June 2020,01:25
87,CCAFS,SpaceX CRS-18,"2,268 kg",LEO,,,,,13 June 2020,09:21
88,CCAFS,AMOS-17,"6,500 kg",GTO,,,,,30 June 2020,20:10:46
89,CCAFS,Starlink,"15,600 kg",LEO,,,,,20 July 2020,21:30
90,KSC,SpaceX CRS-19,"2,617 kg",LEO,,,,,7 August 2020,05:12
91,CCAFS,JCSat-18,"6,956 kg",GTO,,,,,18 August 2020,14:31
92,CCAFS,Starlink,"15,600 kg",LEO,,,,,30 August 2020,23:18
93,KSC,Crew Dragon in-flight abort test,"12,050 kg",Sub-orbital,,,,,3 September 2020,12:46:14
94,KSC,Starlink,"15,600 kg",LEO,,,,,6 October 2020,11:29:34
95,KSC,Starlink,"15,600 kg",LEO,,,,,18 October 2020,12:25:57
96,CCAFS,SpaceX CRS-20,"1,977 kg",LEO,,,,,24 October 2020,15:31:34
97,CCAFS,Starlink,"15,600 kg",LEO,,,,,5 November 2020,23:24:23
98,KSC,Starlink,"15,600 kg",LEO,,,,,16 November 2020,00:27
99,VAFB,Crew Dragon Demo-2,"12,530 kg",LEO,,,,,21 November 2020,17:17:08
100,CCAFS,Starlink,"15,600 kg",LEO,,,,,25 November 2020,02:13
101,KSC,Starlink,"15,410 kg",LEO,,,,,6 December 2020,16:17:08
102,CCSFS,GPS III,"4,311 kg",MEO,,,,,13 December 2020,17:30:00
103,KSC,ANASIS-II,"5,000–6,000 kg",GTO,,,,,19 December 2020,14:00:00
104,CCSFS,Starlink,"14,932 kg",LEO,,,,,8 January 2021,02:15
105,KSC,Starlink,"~15,440 kg",LEO,,,,,20 January 2021,13:02
106,CCSFS,SAOCOM 1B,"3,130 kg",SSO,,,,,24 January 2021,15:00
1,CCAFS,Starlink,"15,600 kg",LEO,,,,,4 June 2010,18:45
